iter	Passed	Remaining
0	221	220789
1	286	142925
2	354	117702
3	420	104614
4	487	97092
5	553	91672
6	619	87902
7	685	85011
8	756	83254
9	836	82765
10	911	81923
11	999	82330
12	1086	82473
13	1169	82382
14	1238	81333
15	1304	80219
16	1371	79325
17	1439	78552
18	1508	77878
19	1577	77318
20	1647	76824
21	1719	76451
22	1787	75949
23	1856	75495
24	1923	75033
25	1992	74641
26	2080	74992
27	2152	74720
28	2219	74300
29	2288	73988
30	2355	73624
31	2423	73307
32	2504	73396
33	2573	73123
34	2640	72810
35	2705	72450
36	2765	71971
37	2823	71474
38	2888	71176
39	2951	70830
40	3018	70592
41	3079	70247
42	3140	69896
43	3201	69570
44	3274	69498
45	3340	69279
46	3431	69572
47	3493	69295
48	3554	68980
49	3612	68635
50	3671	68326
51	3733	68059
52	3797	67851
53	3855	67536
54	3916	67294
55	3982	67129
56	4048	66980
57	4115	66840
58	4181	66696
59	4244	66494
60	4319	66499
61	4445	67249
62	4584	68189
63	4684	68507
64	4776	68707
65	4861	68801
66	4942	68820
67	5008	68647
68	5071	68432
69	5159	68547
70	5235	68501
71	5303	68357
72	5368	68167
73	5435	68013
74	5496	67788
75	5560	67602
76	5620	67377
77	5682	67171
78	5747	67003
79	5820	66937
80	5888	66804
81	5951	66630
82	6014	66450
83	6074	66243
84	6139	66085
85	6206	65963
86	6268	65788
87	6335	65654
88	6400	65513
89	6461	65333
90	6520	65130
91	6583	64974
92	6646	64824
93	6708	64658
94	6771	64506
95	6832	64336
96	6895	64188
97	6961	64072
98	7019	63883
99	7079	63711
100	7137	63531
101	7191	63314
102	7245	63102
103	7305	62940
104	7363	62765
105	7426	62630
106	7486	62477
107	7544	62309
108	7598	62112
109	7656	61951
110	7713	61774
111	7767	61588
112	7823	61408
113	7879	61240
114	7936	61075
115	7991	60900
116	8046	60729
117	8103	60569
118	8157	60393
119	8212	60228
120	8274	60108
121	8328	59938
122	8384	59781
123	8438	59611
124	8493	59451
125	8547	59289
126	8602	59135
127	8656	58974
128	8711	58821
129	8774	58724
130	8828	58567
131	8883	58418
132	8938	58266
133	8992	58117
134	9054	58013
135	9114	57906
136	9172	57779
137	9226	57634
138	9282	57498
139	9338	57362
140	9393	57224
141	9449	57098
142	9507	56979
143	9566	56865
144	9628	56772
145	9685	56654
146	9739	56517
147	9795	56388
148	9850	56259
149	9906	56134
150	9961	56006
151	10016	55880
152	10072	55759
153	10139	55702
154	10201	55615
155	10258	55499
156	10314	55380
157	10372	55276
158	10433	55188
159	10490	55075
160	10546	54960
161	10602	54845
162	10658	54729
163	10714	54619
164	10770	54502
165	10826	54395
166	10882	54282
167	10938	54173
168	10993	54056
169	11049	53947
170	11108	53854
171	11171	53777
172	11240	53734
173	11307	53675
174	11366	53586
175	11430	53513
176	11485	53402
177	11539	53287
178	11593	53175
179	11647	53061
180	11701	52948
181	11757	52842
182	11811	52734
183	11866	52625
184	11921	52518
185	11975	52406
186	12028	52294
187	12091	52225
188	12146	52119
189	12209	52052
190	12270	51974
191	12328	51884
192	12384	51783
193	12439	51681
194	12493	51577
195	12548	51473
196	12603	51372
197	12659	51276
198	12713	51174
199	12768	51074
200	12824	50979
201	12880	50885
202	12935	50785
203	12990	50687
204	13044	50587
205	13099	50490
206	13156	50402
207	13213	50311
208	13268	50218
209	13325	50128
210	13381	50036
211	13436	49941
212	13502	49890
213	13558	49798
214	13612	49701
215	13668	49610
216	13722	49513
217	13776	49417
218	13831	49325
219	13885	49231
220	13940	49138
221	13995	49046
222	14050	48957
223	14108	48874
224	14162	48783
225	14217	48692
226	14273	48604
227	14329	48518
228	14384	48429
229	14440	48343
230	14495	48254
231	14550	48166
232	14604	48076
233	14659	47987
234	14713	47897
235	14768	47808
236	14823	47721
237	14877	47634
238	14932	47547
239	14987	47460
240	15041	47371
241	15095	47283
242	15150	47197
243	15204	47109
244	15259	47023
245	15315	46941
246	15371	46860
247	15426	46777
248	15482	46697
249	15536	46610
250	15591	46526
251	15646	46441
252	15701	46360
253	15757	46279
254	15812	46197
255	15867	46114
256	15922	46032
257	15977	45949
258	16032	45868
259	16089	45793
260	16147	45719
261	16202	45638
262	16257	45557
263	16312	45478
264	16368	45400
265	16426	45326
266	16485	45256
267	16543	45185
268	16597	45104
269	16652	45022
270	16708	44946
271	16770	44884
272	16826	44809
273	16881	44729
274	16937	44653
275	16996	44585
276	17058	44523
277	17118	44457
278	17173	44379
279	17227	44298
280	17282	44220
281	17340	44149
282	17396	44074
283	17451	43996
284	17506	43920
285	17560	43839
286	17614	43760
287	17669	43683
288	17724	43605
289	17780	43532
290	17834	43452
291	17892	43384
292	17949	43311
293	18006	43239
294	18060	43162
295	18116	43088
296	18172	43013
297	18226	42936
298	18281	42861
299	18336	42785
300	18392	42713
301	18447	42636
302	18502	42561
303	18557	42487
304	18613	42413
305	18668	42340
306	18723	42265
307	18779	42192
308	18833	42116
309	18888	42042
310	18943	41969
311	18998	41893
312	19052	41818
313	19107	41744
314	19162	41671
315	19216	41595
316	19271	41521
317	19325	41445
318	19381	41374
319	19434	41298
320	19491	41229
321	19550	41164
322	19604	41090
323	19660	41019
324	19714	40945
325	19769	40872
326	19823	40798
327	19877	40723
328	19931	40650
329	19986	40579
330	20042	40509
331	20098	40438
332	20152	40364
333	20207	40294
334	20263	40223
335	20317	40151
336	20373	40081
337	20430	40014
338	20487	39948
339	20545	39882
340	20602	39815
341	20658	39745
342	20712	39674
343	20767	39603
344	20822	39532
345	20877	39461
346	20933	39393
347	20992	39330
348	21049	39264
349	21106	39197
350	21161	39128
351	21216	39057
352	21271	38988
353	21326	38917
354	21381	38847
355	21437	38779
356	21491	38709
357	21546	38639
358	21600	38568
359	21655	38498
360	21709	38427
361	21763	38356
362	21818	38287
363	21873	38217
364	21928	38149
365	21983	38080
366	22038	38011
367	22098	37952
368	22153	37882
369	22207	37811
370	22261	37742
371	22316	37673
372	22371	37606
373	22426	37538
374	22482	37470
375	22537	37401
376	22592	37334
377	22647	37266
378	22702	37198
379	22757	37130
380	22813	37064
381	22869	36997
382	22924	36930
383	22979	36863
384	23034	36795
385	23091	36731
386	23147	36665
387	23202	36598
388	23258	36531
389	23312	36462
390	23368	36397
391	23423	36331
392	23479	36264
393	23534	36197
394	23589	36130
395	23644	36063
396	23698	35995
397	23753	35928
398	23807	35860
399	23862	35793
400	23917	35727
401	23972	35660
402	24028	35595
403	24087	35534
404	24143	35470
405	24199	35405
406	24256	35341
407	24313	35278
408	24369	35214
409	24425	35149
410	24479	35081
411	24541	35025
412	24596	34959
413	24651	34892
414	24706	34826
415	24761	34761
416	24816	34695
417	24870	34628
418	24924	34561
419	24979	34495
420	25033	34428
421	25088	34363
422	25144	34298
423	25200	34235
424	25257	34171
