iter	Passed	Remaining
0	125	124987
1	228	113837
2	328	109190
3	434	108099
4	570	113596
5	674	111669
6	779	110581
7	881	109265
8	977	107636
9	1075	106502
10	1180	106093
11	1283	105700
12	1387	105334
13	1486	104662
14	1589	104401
15	1694	104234
16	1796	103858
17	1893	103325
18	1994	102995
19	2096	102747
20	2200	102571
21	2307	102576
22	2413	102521
23	2517	102383
24	2632	102673
25	2734	102441
26	2855	102902
27	3000	104152
28	3118	104403
29	3224	104248
30	3361	105083
31	3488	105518
32	3608	105743
33	3716	105604
34	3838	105828
35	3963	106135
36	4069	105910
37	4175	105704
38	4292	105768
39	4416	105988
40	4528	105912
41	4635	105728
42	4760	105939
43	4887	106187
44	4995	106006
45	5105	105881
46	5229	106038
47	5360	106319
48	5477	106300
49	5591	106240
50	5711	106283
51	5827	106245
52	5935	106063
53	6042	105851
54	6172	106053
55	6278	105836
56	6384	105622
57	6501	105600
58	6618	105551
59	6731	105461
60	6845	105372
61	6958	105276
62	7071	105170
63	7175	104947
64	7284	104777
65	7393	104624
66	7502	104478
67	7604	104220
68	7711	104049
69	7821	103918
70	7936	103843
71	8055	103829
72	8177	103837
73	8288	103717
74	8395	103545
75	8511	103478
76	8637	103541
77	8761	103566
78	8896	103716
79	9015	103678
80	9138	103676
81	9243	103486
82	9345	103253
83	9464	103207
84	9592	103260
85	9708	103179
86	9820	103054
87	9946	103085
88	10075	103129
89	10181	102950
90	10293	102821
91	10412	102761
92	10525	102651
93	10629	102450
94	10743	102341
95	10863	102298
96	10973	102151
97	11074	101935
98	11180	101756
99	11284	101562
100	11394	101418
101	11502	101269
102	11615	101159
103	11740	101147
104	11854	101043
105	11957	100848
106	12065	100697
107	12170	100520
108	12282	100404
109	12391	100262
110	12501	100123
111	12609	99978
112	12714	99801
113	12817	99618
114	12923	99454
115	13030	99300
116	13134	99124
117	13263	99138
118	13385	99098
119	13493	98954
120	13615	98908
121	13737	98864
122	13855	98791
123	13968	98684
124	14091	98643
125	14214	98596
126	14331	98511
127	14442	98388
128	14586	98488
129	14722	98524
130	14832	98391
131	14944	98271
132	15088	98356
133	15221	98373
134	15331	98235
135	15438	98077
136	15562	98034
137	15685	97979
138	15791	97814
139	15905	97707
140	16017	97583
141	16136	97502
142	16251	97397
143	16365	97281
144	16476	97151
145	16591	97049
146	16703	96927
147	16813	96789
148	16938	96742
149	17046	96598
150	17153	96446
151	17259	96290
152	17394	96297
153	17504	96160
154	17612	96014
155	17721	95879
156	17832	95751
157	17943	95623
158	18064	95550
159	18181	95453
160	18290	95314
161	18401	95187
162	18522	95113
163	18636	94998
164	18741	94842
165	18855	94729
166	18988	94712
167	19102	94602
168	19227	94542
169	19348	94468
170	19471	94397
171	19582	94270
172	19709	94218
173	19845	94209
174	19960	94099
175	20073	93982
176	20186	93859
177	20316	93819
178	20437	93738
179	20556	93646
180	20715	93734
181	20833	93637
182	20947	93518
183	21054	93373
184	21163	93231
185	21271	93092
186	21381	92957
187	21491	92823
188	21735	93265
189	21929	93488
190	22053	93410
191	22185	93365
192	22394	93640
193	22581	93816
194	22715	93773
195	22863	93788
196	22993	93725
197	23123	93662
198	23293	93760
199	23418	93674
200	23532	93545
201	23655	93450
202	23822	93528
203	24025	93746
204	24147	93646
205	24276	93572
206	24403	93487
207	24530	93404
208	24663	93342
209	24803	93307
210	24943	93270
211	25079	93220
212	25223	93195
213	25379	93215
214	25520	93180
215	25691	93251
216	25829	93200
217	25967	93149
218	26125	93168
219	26268	93133
220	26403	93068
221	26531	92981
222	26680	92964
223	26835	92964
224	26951	92832
225	27060	92675
226	27202	92632
227	27319	92501
228	27433	92364
229	27543	92211
230	27650	92048
231	27755	91881
232	27865	91728
233	27974	91573
234	28088	91436
235	28219	91354
236	28331	91210
237	28438	91050
238	28568	90966
239	28686	90840
240	28795	90687
241	28918	90578
242	29044	90479
243	29165	90365
244	29268	90193
245	29374	90035
246	29493	89914
247	29616	89803
248	29721	89643
249	29830	89492
250	29950	89375
251	30069	89255
252	30172	89087
253	30279	88930
254	30394	88800
255	30511	88674
256	30616	88514
257	30721	88353
258	30842	88240
259	30956	88108
260	31083	88009
261	31198	87880
262	31312	87747
263	31413	87577
264	31517	87415
265	31620	87254
266	31723	87089
267	31826	86929
268	31955	86837
269	32056	86670
270	32162	86518
271	32266	86361
272	32369	86199
273	32472	86039
274	32586	85909
275	32690	85754
276	32795	85599
277	32893	85428
278	32993	85263
279	33096	85106
280	33216	84991
281	33344	84898
282	33448	84742
283	33549	84583
284	33666	84461
285	33784	84343
286	33888	84189
287	33988	84028
288	34106	83909
289	34224	83790
290	34329	83641
291	34432	83487
292	34549	83368
293	34674	83267
294	34778	83115
295	34909	83027
296	35023	82901
297	35141	82782
298	35244	82629
299	35352	82489
300	35467	82364
301	35586	82248
302	35688	82094
303	35791	81944
304	35910	81829
305	36024	81701
306	36126	81550
307	36229	81399
308	36332	81249
309	36435	81097
310	36536	80944
311	36638	80793
312	36742	80644
313	36847	80500
314	36948	80348
315	37053	80204
316	37154	80051
317	37261	79913
318	37367	79772
319	37473	79631
320	37578	79487
321	37684	79348
322	37806	79241
323	37911	79098
324	38017	78960
325	38124	78822
326	38229	78680
327	38349	78570
328	38471	78462
329	38573	78315
330	38677	78172
331	38801	78070
